"Anos","PIB, (US$ atual)","Expectativa de vida no nascimento, total (anos)","População, total"
"1960","$15.165.569.912,52","54,241","72.207.554"
"1961","$15.236.854.859,47","54,754","74.351.763"
"1962","$19.926.293.839,02","55,27","76.573.248"
"1963","$23.021.477.292,21","55,785","78.854.019"
"1964","$21.211.892.259,99","56,293","81.168.654"
"1965","$21.790.035.117,19","56,794","83.498.020"
"1966","$27.062.716.577,91","57,289","85.837.799"
"1967","$30.591.834.053,97","57,776","88.191.378"
"1968","$33.875.881.876,37","58,254","90.557.064"
"1969","$37.458.898.243,86","58,717","92.935.072"
"1970","$42.327.600.098,24","59,154","95.326.793"
"1971","$49.204.456.700,45","59,557","97.728.961"
"1972","$58.539.008.786,37","59,919","100.143.598"
"1973","$79.279.057.730,83","60,241","102.584.278"
"1974","$105.136.007.528,76","60,527","105.069.367"
"1975","$123.709.376.567,89","60,782","107.612.100"
"1976","$152.678.020.452,83","61,017","110.213.082"
"1977","$176.171.284.311,76","61,244","112.867.867"
"1978","$200.800.891.870,16","61,476","115.577.669"
"1979","$224.969.488.835,18","61,721","118.342.626"
"1980","$235.024.598.983,26","61,983","121.159.761"
"1981","$26.561.088.977,13","62,264","124.030.908"
"1982","$281.682.304.161,04","62,559","126.947.365"
"1983","$203.304.515.490,80","62,866","129.882.321"
"1984","$209.023.912.696,84","63,185","132.800.684"
"1985","$222.942.790.435,30","63,514","135.676.281"
"1986","$268.137.224.729,72","63,852","138.499.464"
"1987","$294.084.112.392,66","64,197","141.273.488"
"1988","$330.397.381.998,49","64,552","144.001.542"
"1989","$425.595.310.000,00","64,917","146.691.981"
"1990","$461.951.782.000,00","65,3","149.352.145"
"1991","$602.860.000.000,00","65,708","151.976.577"
"1992","$400.599.250.000,00","66,144","154.564.278"
"1993","$437.798.577.639,75","66,607","157.132.682"
"1994","$558.111.997.497,26","67,095","159.705.123"
"1995","$785.643.456.467,26","67,6","162.296.612"
"1996","$850.425.828.275,79","68,112","164.913.306"
"1997","$883.199.443.413,73","68,622","167.545.164"
"1998","$863.723.395.088,32","69,12","170.170.640"
"1999","$599.388.879.704,63","69,599","172.759.243"
"2000","$655.421.153.320,58","70,055","175.287.587"
"2001","$559.372.502.338,24","70,486","177.750.670"
"2002","$507.962.741.819,92","70,896","180.151.021"
"2003","$558.320.116.997,08","71,29","182.482.149"
"2004","$669.316.239.316,24","71,67","184.738.458"
"2005","$891.629.970.423,92","72,04","186.917.361"
"2006","$1.107.640.325.472,35","72,405","189.012.412"
"2007","$1.397.084.381.901,29","72,768","191.026.637"
"2008","$1.695.824.517.395,57","73,129","192.979.029"
"2009","$1.667.019.605.881,76","73,488","194.895.996"
"2010","$2.208.871.646.202,82","73,838","196.796.269"
"2011","$2.616.201.578.192,25","74,174","198.686.688"
"2012","$2.465.188.674.415,03","74,488","200.560.983"
"2013","$2.472.806.919.901,67","74,777","202.408.632"
"2014","$2.455.993.200.170,00","75,042","204.213.133"
"2015","$1.803.652.649.613,75","75,284","205.962.108"
"2016","$1.796.186.586.414,45","75,509","207.652.865"
